"COU","Country","VAR","Variable - Red List","YEA","Year","Value","Flag Codes","Flags"
"IRL","Ireland","UPPER","Upper Bound","2001","2001",0.925,,
"IRL","Ireland","UPPER","Upper Bound","2002","2002",0.925,,
"IRL","Ireland","UPPER","Upper Bound","2003","2003",0.924,,
"IRL","Ireland","UPPER","Upper Bound","2004","2004",0.923,,
"IRL","Ireland","UPPER","Upper Bound","2005","2005",0.922,,
"IRL","Ireland","UPPER","Upper Bound","2006","2006",0.922,,
"IRL","Ireland","UPPER","Upper Bound","2007","2007",0.922,,
"IRL","Ireland","UPPER","Upper Bound","2008","2008",0.922,,
"IRL","Ireland","UPPER","Upper Bound","2009","2009",0.924,,
"IRL","Ireland","UPPER","Upper Bound","2010","2010",0.925,,
"IRL","Ireland","UPPER","Upper Bound","2011","2011",0.928,,
"IRL","Ireland","UPPER","Upper Bound","2012","2012",0.93,,
"IRL","Ireland","UPPER","Upper Bound","2013","2013",0.932,,
"IRL","Ireland","UPPER","Upper Bound","2014","2014",0.931,,
"IRL","Ireland","UPPER","Upper Bound","2015","2015",0.933,,
"IRL","Ireland","UPPER","Upper Bound","2016","2016",0.935,,
"IRL","Ireland","UPPER","Upper Bound","2017","2017",0.937,,
"IRL","Ireland","UPPER","Upper Bound","2018","2018",0.939,,
"IRL","Ireland","UPPER","Upper Bound","2019","2019",0.944,,
"IRL","Ireland","UPPER","Upper Bound","2020","2020",0.944,,
"IRL","Ireland","UPPER","Upper Bound","2021","2021",0.945,,
"LUX","Luxembourg","INDEX","Red List Index","2001","2001",0.983,,
"LUX","Luxembourg","INDEX","Red List Index","2002","2002",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2003","2003",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2004","2004",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2005","2005",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2006","2006",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2007","2007",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2008","2008",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2009","2009",0.984,,
"LUX","Luxembourg","INDEX","Red List Index","2010","2010",0.984,,
